MovieID,Title,Image,Rating
1,Toy Story (1995),MovieImages/1.jpg,
2,Jumanji (1995),MovieImages/2.jpg,
3,Grumpier Old Men (1995),MovieImages/3.jpg,
4,Waiting to Exhale (1995),MovieImages/4.jpg,
5,Father of the Bride Part II (1995),MovieImages/5.jpg,
6,Heat (1995),MovieImages/6.jpg,
7,Sabrina (1995),MovieImages/7.jpg,
8,Tom and Huck (1995),MovieImages/8.jpg,
9,Sudden Death (1995),MovieImages/9.jpg,
10,GoldenEye (1995),MovieImages/10.jpg,
11,"American President, The (1995)",MovieImages/11.jpg,
12,Dracula: Dead and Loving It (1995),MovieImages/12.jpg,
13,Balto (1995),MovieImages/13.jpg,
14,Nixon (1995),MovieImages/14.jpg,
15,Cutthroat Island (1995),MovieImages/15.jpg,
16,Casino (1995),MovieImages/16.jpg,
17,Sense and Sensibility (1995),MovieImages/17.jpg,
18,Four Rooms (1995),MovieImages/18.jpg,
19,Ace Ventura: When Nature Calls (1995),MovieImages/19.jpg,
20,Money Train (1995),MovieImages/20.jpg,
21,Get Shorty (1995),MovieImages/21.jpg,
22,Copycat (1995),MovieImages/22.jpg,
23,Assassins (1995),MovieImages/23.jpg,
24,Powder (1995),MovieImages/24.jpg,
25,Leaving Las Vegas (1995),MovieImages/25.jpg,
26,Othello (1995),MovieImages/26.jpg,
27,Now and Then (1995),MovieImages/27.jpg,
28,Persuasion (1995),MovieImages/28.jpg,
29,"City of Lost Children, The (1995)",MovieImages/29.jpg,
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),MovieImages/30.jpg,
31,Dangerous Minds (1995),MovieImages/31.jpg,
32,Twelve Monkeys (1995),MovieImages/32.jpg,
33,Wings of Courage (1995),MovieImages/33.jpg,
34,Babe (1995),MovieImages/34.jpg,
35,Carrington (1995),MovieImages/35.jpg,
36,Dead Man Walking (1995),MovieImages/36.jpg,
37,Across the Sea of Time (1995),MovieImages/37.jpg,
38,It Takes Two (1995),MovieImages/38.jpg,
39,Clueless (1995),MovieImages/39.jpg,
40,"Cry, the Beloved Country (1995)",MovieImages/40.jpg,
41,Richard III (1995),MovieImages/41.jpg,
42,Dead Presidents (1995),MovieImages/42.jpg,
43,Restoration (1995),MovieImages/43.jpg,
44,Mortal Kombat (1995),MovieImages/44.jpg,
45,To Die For (1995),MovieImages/45.jpg,
46,How to Make an American Quilt (1995),MovieImages/46.jpg,
47,Seven (Se7en) (1995),MovieImages/47.jpg,
48,Pocahontas (1995),MovieImages/48.jpg,
49,When Night Is Falling (1995),MovieImages/49.jpg,
50,"Usual Suspects, The (1995)",MovieImages/50.jpg,
51,Guardian Angel (1994),MovieImages/51.jpg,
52,Mighty Aphrodite (1995),MovieImages/52.jpg,
53,Lamerica (1994),MovieImages/53.jpg,
54,"Big Green, The (1995)",MovieImages/54.jpg,
55,Georgia (1995),MovieImages/55.jpg,
56,Kids of the Round Table (1995),MovieImages/56.jpg,
57,Home for the Holidays (1995),MovieImages/57.jpg,
58,"Postino, Il (The Postman) (1994)",MovieImages/58.jpg,
59,"Confessional, The (Le Confessionnal) (1995)",MovieImages/59.jpg,
60,"Indian in the Cupboard, The (1995)",MovieImages/60.jpg,
61,Eye for an Eye (1996),MovieImages/61.jpg,
62,Mr. Holland's Opus (1995),MovieImages/62.jpg,
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),MovieImages/63.jpg,
64,Two if by Sea (1996),MovieImages/64.jpg,
65,Bio-Dome (1996),MovieImages/65.jpg,
66,Lawnmower Man 2: Beyond Cyberspace (1996),MovieImages/66.jpg,
67,Two Bits (1995),MovieImages/67.jpg,
68,French Twist (Gazon maudit) (1995),MovieImages/68.jpg,
69,Friday (1995),MovieImages/69.jpg,
70,From Dusk Till Dawn (1996),MovieImages/70.jpg,
71,Fair Game (1995),MovieImages/71.jpg,
72,Kicking and Screaming (1995),MovieImages/72.jpg,
73,"Misérables, Les (1995)",MovieImages/73.jpg,
74,Bed of Roses (1996),MovieImages/74.jpg,
75,Big Bully (1996),MovieImages/75.jpg,
76,Screamers (1995),MovieImages/76.jpg,
77,Nico Icon (1995),MovieImages/77.jpg,
78,"Crossing Guard, The (1995)",MovieImages/78.jpg,
79,"Juror, The (1996)",MovieImages/79.jpg,
80,"White Balloon, The (Badkonake Sefid ) (1995)",MovieImages/80.jpg,
81,Things to Do in Denver when You're Dead (1995),MovieImages/81.jpg,
82,Antonia's Line (Antonia) (1995),MovieImages/82.jpg,
83,Once Upon a Time... When We Were Colored (1995),MovieImages/83.jpg,
84,Last Summer in the Hamptons (1995),MovieImages/84.jpg,
85,Angels and Insects (1995),MovieImages/85.jpg,
86,White Squall (1996),MovieImages/86.jpg,
87,Dunston Checks In (1996),MovieImages/87.jpg,
88,Black Sheep (1996),MovieImages/88.jpg,
89,Nick of Time (1995),MovieImages/89.jpg,
90,"Journey of August King, The (1995)",MovieImages/90.jpg,
92,Mary Reilly (1996),MovieImages/92.jpg,
93,Vampire in Brooklyn (1995),MovieImages/93.jpg,
94,Beautiful Girls (1996),MovieImages/94.jpg,
95,Broken Arrow (1996),MovieImages/95.jpg,
96,In the Bleak Midwinter (1995),MovieImages/96.jpg,
97,"Hate (Haine, La) (1995)",MovieImages/97.jpg,
98,Shopping (1994),MovieImages/98.jpg,
99,Heidi Fleiss: Hollywood Madam (1995),MovieImages/99.jpg,
100,City Hall (1996),MovieImages/100.jpg,
101,Bottle Rocket (1996),MovieImages/101.jpg,
102,Mr. Wrong (1996),MovieImages/102.jpg,
103,Unforgettable (1996),MovieImages/103.jpg,
104,Happy Gilmore (1996),MovieImages/104.jpg,
105,"Bridges of Madison County, The (1995)",MovieImages/105.jpg,
106,Nobody Loves Me (Keiner liebt mich) (1994),MovieImages/106.jpg,
107,Muppet Treasure Island (1996),MovieImages/107.jpg,
108,Catwalk (1995),MovieImages/108.jpg,
109,Headless Body in Topless Bar (1995),MovieImages/109.jpg,
110,Braveheart (1995),MovieImages/110.jpg,
111,Taxi Driver (1976),MovieImages/111.jpg,
112,Rumble in the Bronx (1995),MovieImages/112.jpg,
113,Before and After (1996),MovieImages/113.jpg,
114,Margaret's Museum (1995),MovieImages/114.jpg,
115,Happiness Is in the Field (1995),MovieImages/115.jpg,
116,Anne Frank Remembered (1995),MovieImages/116.jpg,
117,"Young Poisoner's Handbook, The (1995)",MovieImages/117.jpg,
118,If Lucy Fell (1996),MovieImages/118.jpg,
119,"Steal Big, Steal Little (1995)",MovieImages/119.jpg,
120,Race the Sun (1996),MovieImages/120.jpg,
121,"Boys of St. Vincent, The (1993)",MovieImages/121.jpg,
122,Boomerang (1992),MovieImages/122.jpg,
123,Chungking Express (1994),MovieImages/123.jpg,
124,"Star Maker, The (Uomo delle stelle, L') (1995)",MovieImages/124.jpg,
125,Flirting With Disaster (1996),MovieImages/125.jpg,
126,"NeverEnding Story III, The (1994)",MovieImages/126.jpg,
127,"Silence of the Palace, The (Saimt el Qusur) (1994)",MovieImages/127.jpg,
128,Jupiter's Wife (1994),MovieImages/128.jpg,
129,Pie in the Sky (1995),MovieImages/129.jpg,
130,Angela (1995),MovieImages/130.jpg,
131,Frankie Starlight (1995),MovieImages/131.jpg,
132,Jade (1995),MovieImages/132.jpg,
133,Nueba Yol (1995),MovieImages/133.jpg,
134,Sonic Outlaws (1995),MovieImages/134.jpg,
135,Down Periscope (1996),MovieImages/135.jpg,
136,From the Journals of Jean Seberg (1995),MovieImages/136.jpg,
137,Man of the Year (1995),MovieImages/137.jpg,
138,"Neon Bible, The (1995)",MovieImages/138.jpg,
139,Target (1995),MovieImages/139.jpg,
140,Up Close and Personal (1996),MovieImages/140.jpg,
141,"Birdcage, The (1996)",MovieImages/141.jpg,
142,Shadows (Cienie) (1988),MovieImages/142.jpg,
143,Gospa (1995),MovieImages/143.jpg,
144,"Brothers McMullen, The (1995)",MovieImages/144.jpg,
145,Bad Boys (1995),MovieImages/145.jpg,
146,"Amazing Panda Adventure, The (1995)",MovieImages/146.jpg,
147,"Basketball Diaries, The (1995)",MovieImages/147.jpg,
148,"Awfully Big Adventure, An (1995)",MovieImages/148.jpg,
149,Amateur (1994),MovieImages/149.jpg,
150,Apollo 13 (1995),MovieImages/150.jpg,
151,Rob Roy (1995),MovieImages/151.jpg,
152,"Addiction, The (1995)",MovieImages/152.jpg,
153,Batman Forever (1995),MovieImages/153.jpg,
154,Belle de jour (1967),MovieImages/154.jpg,
155,Beyond Rangoon (1995),MovieImages/155.jpg,
156,Blue in the Face (1995),MovieImages/156.jpg,
157,Canadian Bacon (1994),MovieImages/157.jpg,
158,Casper (1995),MovieImages/158.jpg,
159,Clockers (1995),MovieImages/159.jpg,
160,Congo (1995),MovieImages/160.jpg,
161,Crimson Tide (1995),MovieImages/161.jpg,
162,Crumb (1994),MovieImages/162.jpg,
163,Desperado (1995),MovieImages/163.jpg,
164,Devil in a Blue Dress (1995),MovieImages/164.jpg,
165,Die Hard: With a Vengeance (1995),MovieImages/165.jpg,
166,"Doom Generation, The (1995)",MovieImages/166.jpg,
167,Feast of July (1995),MovieImages/167.jpg,
168,First Knight (1995),MovieImages/168.jpg,
169,Free Willy 2: The Adventure Home (1995),MovieImages/169.jpg,
170,Hackers (1995),MovieImages/170.jpg,
171,Jeffrey (1995),MovieImages/171.jpg,
